uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
spotify:track:4h7qcXBtaOJnmrapxoWxGf,0.884,0.936,1,-3.931,1,0.167,0.206,0,0.262,0.758,120.004,aggressive
spotify:track:0sdeLSxygcjyMyWPhZBdFs,0.533,0.967,1,-2.543,1,0.0995,0.00791,0,0.336,0.782,142.018,aggressive
spotify:track:0vps0wYg8udCkEQ2EYkQRg,0.614,0.754,7,-3.866,0,0.0255,0.00749,0,0.0919,0.672,88.971,aggressive
spotify:track:6S7XekjbMtUQxhgySaIK8W,0.615,0.767,3,-6.066,0,0.123,0.243,4.05E-05,0.144,0.299,140.138,aggressive
spotify:track:4IKwqwmr5MnL6OjuHc6ugs,0.276,0.952,4,-5.265,1,0.0541,1.55E-05,0.0563,0.14,0.736,199.979,aggressive
spotify:track:0X0wvZuhTcTU03Roz9fPJA,0.535,0.974,4,-4.085,1,0.0696,0.000385,1.80E-05,0.0932,0.378,102.043,aggressive
spotify:track:3OZ0YmANXXnladoGzqAml2,0.342,0.928,4,-3.569,1,0.0724,0.036,0,0.177,0.283,185.104,aggressive
spotify:track:4Ahphc0UzRSoMpJRHgnGQK,0.452,0.962,11,-3.063,0,0.0831,0.00901,0,0.065,0.566,164.032,aggressive
spotify:track:2jfk3m8nq5IvB35s2xIs1O,0.445,0.953,5,-2.463,0,0.0704,0.0106,0,0.281,0.475,172.063,aggressive
spotify:track:5HDG2PPLki6wowJvZbAH9d,0.498,0.972,8,-3.443,1,0.196,0.000994,0,0.213,0.334,74.99,aggressive
spotify:track:0UOtF2ojhKGYEjvZ28ZA6d,0.492,0.93,2,-3.826,0,0.0396,1.17E-05,0,0.307,0.431,126.039,aggressive
spotify:track:79t5idiRhbDB1oLaVcTVsD,0.593,0.789,6,-4.48,1,0.275,0.16,0,0.619,0.58,91.189,aggressive
spotify:track:0KCr0VngtbPhpbngIIfiLW,0.434,0.939,4,-2.983,0,0.0593,0.0425,0,0.491,0.569,159.932,aggressive
